customer,salesOrganization,distributionChannel,division,billingIsBlockedForCustomer,completeDeliveryIsDefined,creditControlArea,currency,customerPaymentTerms,deliveryPriority,incotermsClassification,incotermsLocation1,salesGroup,salesOffice,shippingCondition,slsUnlmtdOvrdelivIsAllwd,supplyingPlant,salesDistrict,exchangeRateType
310000108,ABCD,05,99,,false,,INR,Z009,0,FOR,Millerborough,,,01,false,,,M
310000108,ABCD,RB,99,,false,,INR,Z001,0,FOR,Wellsborough,,,01,false,,,
310000109,ABCD,05,99,,false,,INR,Z009,0,FOR,Millerborough,,,01,false,,,M
310000109,ABCD,RB,99,,false,,INR,Z001,0,FOR,Wellsborough,,,01,false,,,
320000082,ABCD,05,99,,false,,INR,Z001,0,FOR,Lake David,,,01,false,,,
320000082,ABCD,10,99,,false,,INR,Z001,0,,,,,,false,,,
320000082,ABCD,11,99,,false,,INR,Z001,0,FOR,Lake David,,,01,false,,,
320000082,ABCD,RC,99,,false,,INR,Z001,0,FOR,Wellsborough,,,01,false,,,
320000083,ABCD,05,99,,false,,INR,Z001,0,FOR,Lake David,,,01,false,,,
320000083,ABCD,10,99,,false,,INR,Z001,0,,,,,,false,,,
320000083,ABCD,11,99,,false,,INR,Z001,0,FOR,Lake David,,,01,false,,,
320000083,ABCD,RC,99,,false,,INR,Z001,0,FOR,Wellsborough,,,01,false,,,
320000085,ABCD,05,99,,false,,INR,Z001,0,FOR,Lake David,,,01,false,,,
320000085,ABCD,10,99,,false,,INR,Z001,0,,,,,,false,,,
320000085,ABCD,11,99,,false,,INR,Z001,0,FOR,Lake David,,,01,false,,,
320000085,ABCD,RC,99,,false,,INR,Z001,0,FOR,Wellsborough,,,01,false,,,
320000088,ABCD,05,99,,false,,INR,Z001,0,FOR,Lake David,,,01,false,,,
320000088,ABCD,10,99,,false,,INR,Z001,0,,,,,,false,,,
320000088,ABCD,11,99,,false,,INR,Z001,0,FOR,Lake David,,,01,false,,,
320000088,ABCD,RC,99,,false,,INR,Z001,0,FOR,Wellsborough,,,01,false,,,
320000107,ABCD,05,99,,false,,INR,Z001,0,FOR,Lake David,,,01,false,,,
320000107,ABCD,10,99,,false,,INR,Z001,0,FOR,Lake David,,,,false,,,
320000107,ABCD,11,99,,false,,INR,Z001,0,FOR,Lake David,,,01,false,,,
320000107,ABCD,RC,99,,false,,INR,Z001,0,FOR,Wellsborough,,,01,false,,,
320000108,ABCD,05,99,,false,,INR,Z001,0,FOR,Lake David,,,01,false,,,
320000108,ABCD,10,99,,false,,INR,Z001,0,,,,,,false,,,
320000108,ABCD,11,99,,false,,INR,Z001,0,FOR,Lake David,,,01,false,,,
320000108,ABCD,RC,99,,false,,INR,Z001,0,FOR,Wellsborough,,,01,false,,,
