plant,plantName,valuationArea,plantCustomer,plantSupplier,factoryCalendar,defaultPurchasingOrganization,salesOrganization,addressId,plantCategory,distributionChannel,division,language,isMarkedForArchiving
1001,Lake Christopher Plant,1001,1001,1001,IN,,ABCD,93,,80,99,EN,false
1002,Lake Erica Plant,1002,1002,1002,IN,,ABCD,94,,80,99,EN,false
1003,North Timothybury Plant,1003,1003,1003,IN,,ABCD,95,,80,99,EN,false
1005,Port Kevin Plant,1005,1005,1005,IN,,ABCD,96,,80,99,EN,false
1006,Lake Andreafort Plant,1006,1006,,IN,,ABCD,97,,80,99,EN,false
1007,Rossside Plant,1007,1007,1007,IN,,ABCD,98,,80,99,EN,false
1010,Kennedychester Plant,1010,1010,1010,IN,,ABCD,99,,80,99,EN,false
1011,North Joseph Plant,1011,1011,1011,IN,,ABCD,100,,80,99,EN,false
1012,Lake Ashley Plant,1012,1012,1012,IN,,ABCD,101,,80,99,EN,false
1301,North Matthewview Plant,1301,1301,1301,IN,,ABCD,132,,80,99,EN,false
1302,Grahamberg Plant,1302,1302,1302,IN,,ABCD,133,,80,99,EN,false
1303,Lake Deborahland Plant,1303,1303,1303,IN,,ABCD,134,,80,99,EN,false
1920,Garyfort Plant,1920,1920,1920,IN,,ABCD,22,,80,99,EN,false
1921,Port Alyssatown Plant,1921,1921,,IN,,ABCD,900,,80,99,EN,false
1922,Courtneyshire Plant,1922,1922,,IN,,ABCD,901,,80,99,EN,false
AP05,New Justin Plant,AP05,AP05,,IN,,ABCD,791,,80,99,EN,false
AS05,Mcneilville Plant,AS05,AS05,,IN,,ABCD,792,,80,99,EN,false
BH05,Bradfordburgh Plant,BH05,BH05,BH05,IN,,ABCD,793,,80,99,EN,false
CH07,New Katie Plant,CH07,CH07,CH07,IN,,ABCD,794,,80,99,EN,false
DL05,North Mark Plant,DL05,DL05,DL05,IN,,ABCD,795,,80,99,EN,false
DL07,Jessicaview Plant,DL07,DL07,DL07,IN,,ABCD,796,,80,99,EN,false
GJ05,Ramoston Plant,GJ05,GJ05,GJ05,IN,,ABCD,797,,80,99,EN,false
HR00,North Eric Plant,HR00,HR00,,IN,,ABCD,902,,80,99,EN,false
HR05,East Darren Plant,HR05,HR05,HR05,IN,,ABCD,798,,80,99,EN,false
HR07,Brooksfurt Plant,HR07,HR07,,IN,,ABCD,799,,80,99,EN,false
JH05,Port Kristen Plant,JH05,JH05,,IN,,ABCD,800,,80,99,EN,false
KA05,Jessicaside Plant,KA05,KA05,KA05,IN,,ABCD,801,,80,99,EN,false
KA07,Stevenmouth Plant,KA07,KA07,KA07,IN,,ABCD,802,,80,99,EN,false
KR05,Sotoport Plant,KR05,KR05,,IN,,ABCD,803,,80,99,EN,false
KR07,Simmonshaven Plant,KR07,KR07,KR07,IN,,ABCD,804,,80,99,EN,false
MH05,East Adrianamouth Plant,MH05,MH05,MH05,IN,,ABCD,805,,80,99,EN,false
MH07,North Edwin Plant,MH07,MH07,MH07,IN,,ABCD,806,,80,99,EN,false
MP07,Port Nathan Plant,MP07,MP07,MP07,IN,,ABCD,807,,80,99,EN,false
PB05,Lake Kristamouth Plant,PB05,PB05,PB05,IN,,ABCD,808,,80,99,EN,false
PB07,South Mariaton Plant,PB07,PB07,PB07,IN,,ABCD,809,,80,99,EN,false
RJ07,Bridgetton Plant,RJ07,RJ07,RJ07,IN,,ABCD,810,,80,99,EN,false
TL05,New Jennifer Plant,TL05,TL05,TL05,IN,,ABCD,811,,80,99,EN,false
TL07,Lake Rodneyport Plant,TL07,TL07,TL07,IN,,ABCD,812,,80,99,EN,false
TM05,Fosterstad Plant,TM05,TM05,TM05,IN,,ABCD,813,,80,99,EN,false
TM07,West Christopher Plant,TM07,TM07,TM07,IN,,ABCD,814,,80,99,EN,false
UP05,South Lori Plant,UP05,UP05,UP05,IN,,ABCD,815,,80,99,EN,false
UP07,Byrdview Plant,UP07,UP07,UP07,IN,,ABCD,816,,80,99,EN,false
WB05,Cookmouth Plant,WB05,WB05,WB05,IN,,ABCD,817,,80,99,EN,false
WB07,South Melvinburgh Plant,WB07,WB07,WB07,IN,,ABCD,818,,80,99,EN,false
